ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,1 10 513 15 1025 15 1537 15 2049 15 2561 15 3073 15 3585 14 4097 12 4609 11 5121 11 5633 9 6145 7 6658 5 7170 5 7682 4 8195 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,39939 13 39953 2 40451 13 40465 2 40962 21 41473 23 41986 18 42498 18 43011 13
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,89114 9 89623 17 90135 17 90644 22 91154 26 91664 29 92176 29 92686 30 93197 32 93707 33 94219 33 94730 34 95241 34 95751 35 96263 35 96773 36 97284 36 97794 37 98306 37 98817 38 99329 36 99841 36 100353 36 100865 35 101377 34 101889 34 102401 34 102913 32 103425 31 103937 30 104449 30 104961 28 105473 27 105986 23 106498 23
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,179717 2 180227 4 180738 5 181250 5 181762 6 182274 6 182786 6 183298 6 183810 10 184323 10 184836 11 185348 11 185860 13 186372 16 186389 3 186394 2 186884 25 187396 25 187907 28 188419 30 188930 34 189442 34 189954 37 190466 39 190980 40 191492 40 192006 40 192519 40 193033 40 193545 40 194059 41 194572 42 195085 42 195598 41 196110 42 196155 1 196623 46 197136 44 197649 44 198161 44 198675 41 199187 44 199702 41 200214 41 200726 41 201218 2 201240 40 201729 6 201753 39 202241 6 202265 39 202753 7 202780 36 203265 9 203294 35 203777 10 203809 32 204289 10 204321 32 204801 11 204834 31 205313 14 205348 29 205825 14 205861 28 206337 14 206373 28 206849 16 206886 27 207361 19 207398 28 207873 21 207911 29 208385 21 208423 29 208897 21 208936 11 208949 18 209409 22 209448 10 209459 1 209461 20 209921 23 209959 36 210433 23 210471 36 210945 23 210983 37 211457 26 211495 38 211969 27 212006 40 212481 27 212518 40 212993 31 213030 42 213505 31 213538 2 213541 44 214017 81 214529 81 215041 82 215553 40 215594 42 216065 39 216106 1 216110 40 216577 39 216618 1 216622 40 217089 40 217133 1 217135 39 217601 39 217647 1 217649 37 218113 42 218159 1 218161 38 218625 42 218671 1 218673 38 219137 42 219186 2 219189 34 219649 42 219697 1 219700 34 220161 43 220213 33 220673 43 220725 33 221185 43 221237 31 221697 43 221750 24 222209 44 222261 23 222721 44 222773 23 223233 44 223285 20 223745 46 223795 20 224257 47 224306 18 224769 47 224818 18 225281 66 225793 66 226305 67 226817 67 227330 66 227842 69 228355 70 228867 70 229381 70 229899 65 230413 2 230417 60 230925 2 230929 60 231443 58 231951 1 231953 60 232464 62 232976 62 233488 61 234000 61 234511 62 235023 62 235537 59 236049 59 236563 56 237075 56 237588 53 238103 49 238617 44 239130 43 239649 31 240173 11
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,250883 2 251394 5 251906 5 252418 9 252473 9 252929 15 252984 12 253441 23 253495 17 253953 23 254007 17 254465 27 254518 22 254977 29 255030 23 255489 31 255541 26 256001 31 256053 26 256513 34 256565 28 257025 38 257076 32 257110 1 257537 40 257587 36 258049 40 258099 36 258561 43 258611 39 259073 44 259122 42 259585 47 259633 47 260097 47 260145 47 260609 98 261121 101 261229 3 261633 111 261766 6 261775 1 262145 111 262278 6 262287 1 262657 111 262786 14 263169 112 263298 17 263681 115 263809 20 264193 115 264321 20 264705 118 264833 27 265217 123 265343 1 265345 28 265729 158 266241 158 266753 160 267265 163 267777 166 268289 166 268801 62 268865 105 269314 60 269379 1 269381 71 269453 31 269827 60 269893 68 269971 1 269973 26 270339 60 270405 68 270483 1 270485 26 270851 1 270854 56 270919 66 271002 22 271370 52 271432 65 271517 21 271885 48 271947 62 272033 18 272397 48 272459 62 272545 18 272911 45 272971 1 272973 60 273059 16 273426 42 273487 58 273575 12 273940 39 274000 57 274092 7 274452 39 274512 57 274604 7 274967 34 275025 55 275119 1 275121 2 275483 28 275538 54 275999 23 276050 53 276511 23 276562 53 277074 21 277097 27 277589 17 277615 1 277617 7 277625 3 277629 1 278103 17 278615 17 279130 14 279642 17 280155 20 280667 20 281179 1 281181 20 281694 21 282209 1 282211 17 282724 16 283238 16 283753 15 284269 14 284781 15 285293 15 285807 15 286319 17 286833 15 286850 1 287345 15 287362 1 287859 15 288374 10 288889 7 289401 7
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,559 1 563 1 571 1 1071 1 1075 1 1083 1 1582 7 1590 2 1594 2 1598 1 2094 16 2605 19 3117 19 3627 1 3629 19 4126 1 4130 2 4134 2 4138 22 4637 34 5149 34 5659 36 6170 2 6173 31 6682 2 6686 29 7194 2 7198 29 7705 1 7710 22 8223 13 8739 6 9251 6 9762 2 9766 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,131235 8 131747 8 132254 2 132257 11 132764 18 133242 1 133250 2 133254 2 133257 6 133273 21 133754 1 133762 2 133766 2 133769 6 133785 21 134263 26 134290 2 134294 26 134770 2 134773 59 135281 64 135793 64 136302 66 136813 67 137322 69 137834 69 138342 72 138852 74 139362 76 139874 76 140383 78 140893 80 141403 81 141915 81 142426 81 142936 80 143448 79 143960 79 144471 79 144982 78 145494 76 146006 76 146517 75 147029 73 147541 71 148053 71 148566 68 149078 66 149593 62 150105 62 150619 1 150621 58 151137 51 151650 48 152163 47 152676 44 153191 41 153707 33 154221 29 154733 29 155248 22 155761 20 156274 17 156786 17 157299 14 157815 1 157817 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,149676 9 150188 9 150697 14 151205 19 151710 1 151713 24 152222 1 152225 24 152731 30 153241 33 153753 34 154265 34 154777 34 155288 36 155799 37 156309 39 156821 39 157330 41 157839 43 158350 44 158862 44 159372 44 159882 47 160393 47 160905 47 161416 47 161927 48 162438 49 162950 49 163461 49 163972 50 164482 51 164994 51 165505 52 166016 52 166527 52 167039 52 167550 51 168061 50 168571 49 169083 49 169593 51 170103 52 170613 54 171125 54 171636 58 172147 60 172659 60 173171 60 173685 58 174197 58 174711 56 175223 56 175737 53 176251 51 176771 1 176781 31 177283 1 177293 31 177804 32 178315 29 178345 1 178826 29 179338 29 179848 29 180359 29 180870 28 181382 28 181893 23 181917 1 182406 18 182918 14 183430 14 183943 5
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,180951 1 180953 3 180978 2 181463 1 181465 3 181490 2 181973 12 182000 6 182483 17 182509 9 182993 36 183505 36 184010 2 184013 39 184520 44 185006 10 185017 3 185022 54 185518 10 185529 3 185534 54 186027 71 186534 74 187045 74 187557 74 188064 79 188570 85 189078 88 189590 88 190100 89 190600 100 191111 101 191623 101 192134 102 192645 102 193157 102 193669 102 194182 101 194695 100 195209 97 195721 97 196233 95 196746 90 196837 3 197267 73 197341 1 197343 1 197784 63 197849 1 198296 63 198361 1 198831 1 198833 15 198849 1 198851 1 199345 15 199859 1 199861 7 200371 1 200373 7 200885 9 200898 1 201397 21 201909 23 202421 23 202931 25 203441 29 203951 31 204463 31 204971 37 205479 1 205481 39 205521 3 205988 49 206500 49 207008 54 207518 57 208029 58 208541 58 209052 59 209112 1 209563 61 210075 64 210587 64 211100 64 211612 64 212124 65 212636 65 213147 68 213659 69 214171 70 214683 70 215195 71 215706 74 216218 74 216730 74 217243 74 217755 75 218267 75 218779 75 219293 73 219805 72 220319 69 220831 69 221342 70 221855 1 221857 65 222366 66 222878 66 223388 64 223453 1 223895 67 224394 2 224397 59 224906 2 224909 59 225411 68 225921 71 226432 73 226944 73 227456 74 227968 74 228480 74 228992 74 229505 73 230018 72 230530 72 231042 72 231555 73 232070 74 232145 4 232585 83 233097 83 233611 83 234124 86 234637 87 235149 87 235661 88 236174 88 236687 87 237199 87 237710 87 238223 85 238735 83 239247 83 239759 49 239809 1 239811 1 239819 1 239821 1 239823 1 239825 3 239829 3 239833 1 239835 1 240271 41 240313 2 240770 1 240783 35 241277 7 241285 2 241289 1 241296 34 241789 7 241797 2 241801 1 241808 34 242298 18 242319 33 242810 54 243321 11 243333 35 243833 11 243845 35 244344 46 244856 44 245367 41 245410 2 245879 41 245922 2 246393 19 246413 11 246425 3 246909 14 246925 1 246927 7 246937 1 247426 2 247429 1 247431 1 247441 3 247938 2 247941 1 247943 1 247953 3 248451 1 248454 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,246454 2 246961 17 247470 24 247982 24 248493 32 248970 1 249006 34 249481 3 249517 40 249993 3 250029 40 250503 9 250542 43 251014 14 251054 46 251524 20 251567 49 252036 20 252079 49 252548 25 252591 52 253059 33 253103 53 253571 100 254083 100 254595 101 255108 101 255621 101 256133 101 256646 100 257162 95 257677 92 258189 92 258703 89 259217 86 259731 84 260243 84 260757 81 261269 79 261349 1 261783 77 262295 77 262811 65 263325 63 263841 59 264353 59 264867 57 265383 53 265897 50 266409 50 266925 45 267439 42 267959 33 268471 33 268988 26 269507 1 269510 14 270025 7 270537 7
